###
console output
2025-12-30 04:24:38.328221
###
 
 reading from starter.ss
 reading from data file
Data read successful 999

 reading forecast file 
 reading from control file
End of control file successful! 999
Begin setting up parameters ...  end of parameter section 
Evaluating biology calculations once ... done
Starting optimization of 'ss3' in phase 1 of 4 at Tue Dec 30 04:20:37 2025
phase= 3 | nvar= 83 | iter=3860 | nll=3.86e+01 | mag=6.03e+02 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=3880 | nll=3.86e+01 | mag=3.69e+01 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=3900 | nll=3.86e+01 | mag=1.83e+01 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=3920 | nll=3.86e+01 | mag=4.85e+02 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=3940 | nll=3.86e+01 | mag=6.30e+02 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=3960 | nll=3.86e+01 | mag=4.81e+01 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=3980 | nll=3.86e+01 | mag=1.00e+03 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=4000 | nll=3.86e+01 | mag=8.40e+02 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=4020 | nll=3.86e+01 | mag=5.25e+01 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=4040 | nll=3.86e+01 | mag=4.34e+01 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=4060 | nll=3.86e+01 | mag=9.62e+02 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=4080 | nll=3.86e+01 | mag=7.65e+02 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=4100 | nll=3.86e+01 | mag=9.70e+02 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=4120 | nll=3.86e+01 | mag=1.42e+02 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=4140 | nll=3.86e+01 | mag=5.81e+02 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=4160 | nll=3.86e+01 | mag=4.31e+02 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=4180 | nll=3.86e+01 | mag=7.62e+01 | par[  1]=SR_parm[1]
